type,entry,exit,sl,tp,pnl,entry_bar,exit_bar,exit_reason,regime,entry_type
partial,2647.23,2607.1207398779557,2687.339,2567.012,4.010926012204436,730,736,SCALE_OUT,strong_trend,
sell,2647.23,2631.5227783502246,2631.5227783502246,2567.012,3.926805412443855,730,747,SL,strong_trend,pullback
partial,2673.34,2644.073002458491,2702.606,2614.8070000000002,3.512039704981107,1126,1128,SCALE_OUT,strong_trend,
sell,2673.34,2673.34,2673.34,2614.8070000000002,0.0,1126,1129,SL,strong_trend,crossover
sell,1793.47,1822.323,1822.323,1735.7640000000001,-6.636190000000015,2021,2022,SL,uncertain,crossover
sell,2476.91,2523.4559999999997,2523.4559999999997,2383.8179999999998,-9.774659999999962,3724,3725,SL,strong_trend,crossover
sell,2501.42,2518.442,2518.442,2475.887,-4.595939999999983,4129,4130,SL,ranging,mean_reversion
sell,4564.88,4621.071,4621.071,4452.497,-14.04774999999995,5519,5521,SL,strong_trend,pullback
sell,3929.1,3821.043,3983.1279999999997,3821.043,28.094819999999945,6737,6743,TP,strong_trend,pullback
sell,3945.075,3854.656,3990.2839999999997,3854.656,19.89217999999997,7049,7051,TP,strong_trend,pullback
sell,3803.725,3850.297,3850.297,3710.581,-14.903040000000038,7070,7072,SL,strong_trend,pullback
sell,2808.025,2837.62,2837.62,2748.8340000000003,-14.205599999999903,7623,7627,SL,strong_trend,pullback
partial,2836.975,2805.7041431093908,2868.245,2774.4339999999997,0.6254171378121828,7809,7811,SCALE_OUT,strong_trend,
sell,2836.975,2836.975,2836.975,2774.4339999999997,0.0,7809,7814,SL,strong_trend,crossover
partial,3015.025,3046.8442825403536,2983.206,3078.663,0.9545784762106041,7856,7859,SCALE_OUT,strong_trend,
buy,3015.025,3078.663,3024.4809527813263,3078.663,3.8182799999999952,7856,7861,TP,strong_trend,crossover
sell,3064.375,3103.744,3103.744,2985.637,-3.1495200000000114,8079,8094,SL,uncertain,crossover
sell,3200.575,3224.298,3224.298,3153.129,-1.8978399999999966,8976,8982,SL,strong_trend,crossover
sell,2086.475,2124.8849999999998,2124.8849999999998,2009.655,-3.8409999999999855,9448,9461,SL,strong_trend,pullback
sell,1956.475,1980.981,1980.981,1907.462,-2.6956600000000095,9638,9650,SL,strong_trend,crossover
sell,1962.025,1976.722,1976.722,1932.631,-3.527279999999973,10129,10130,SL,strong_trend,pullback
partial,2116.975,2098.910998367459,2135.0389999999998,2080.8469999999998,1.0838400979524612,10459,10462,SCALE_OUT,strong_trend,
sell,2116.975,2080.8469999999998,2116.975,2080.8469999999998,5.419200000000023,10459,10463,TP,strong_trend,pullback
sell,1615.835,1634.309,1634.309,1578.887,-3.5100599999999873,12312,12313,SL,strong_trend,pullback
sell,1654.735,1677.2109999999998,1677.2109999999998,1609.783,-3.5961599999999816,12327,12334,SL,strong_trend,pullback
partial,1577.035,1553.9501414571423,1600.1190000000001,1530.866,0.6925457562857332,12752,12756,SCALE_OUT,strong_trend,
sell,1577.035,1530.866,1577.035,1530.866,3.693520000000008,12752,12757,TP,strong_trend,pullback
